iteration,epsilon,payoff,attacker_best_response,defender_best_response
1,15.00000,0.00000,15.00000,0.00000
2,7.50000,7.50000,15.00000,1.00000
3,6.22222,6.88889,12.00000,0.66667
4,5.00000,7.00000,12.00000,2.50000
5,4.16000,6.96000,10.40000,2.80000
6,4.11111,6.77778,9.66667,2.66667
7,3.83673,6.55102,8.71429,2.71429
8,3.56250,6.31250,8.50000,2.75000
9,3.41975,6.19753,8.44444,2.77778
10,3.46000,6.06000,7.90000,2.60000
11,3.26446,5.90083,7.63636,2.63636
12,2.86806,5.78472,7.50000,2.91667
13,2.55030,5.70414,7.38462,3.15385
14,2.17347,5.67347,7.64286,3.50000
15,1.99556,5.66222,7.53333,3.66667
16,2.09375,5.65625,7.75000,3.81250
17,2.25260,5.68858,7.94118,4.17647
18,2.20988,5.73457,7.94444,4.38889
19,2.01385,5.77562,7.78947,4.36842
20,1.75250,5.79750,7.55000,4.20000
21,1.79138,5.79138,7.19048,4.00000
22,1.94421,5.76240,7.00000,3.81818
23,1.90359,5.72968,6.86957,3.82609
24,1.86285,5.69618,6.75000,3.83333
25,1.82240,5.66240,6.64000,3.84000
26,1.78698,5.63314,6.69231,3.84615
27,1.79150,5.60631,6.70370,3.81481
28,1.79337,5.57908,6.57143,3.78571
29,1.75743,5.55054,6.58621,3.79310
30,1.62889,5.52889,6.60000,3.90000
31,1.51301,5.51301,6.61290,4.00000
32,1.40820,5.50195,6.65625,4.09375
33,1.31772,5.50046,6.81818,4.21212
34,1.34948,5.50346,6.85294,4.26471
35,1.29388,5.50612,6.80000,4.28571
36,1.28549,5.50772,6.75000,4.22222
37,1.39445,5.50256,6.56757,4.10811
38,1.49030,5.49030,6.44737,4.00000
39,1.45102,5.47666,6.41026,4.02564
40,1.41375,5.46375,6.37500,4.05000
41,1.45152,5.45152,6.34146,4.00000
42,1.43764,5.43764,6.28571,4.00000
43,1.42347,5.42347,6.23256,4.00000
44,1.40909,5.40909,6.18182,4.00000
45,1.39457,5.39457,6.15556,4.00000
46,1.33790,5.38138,6.15217,4.04348
47,1.28474,5.36985,6.14894,4.08511
