iteration,epsilon,payoff,attacker_best_response,defender_best_response
1,15.00000,0.00000,15.00000,0.00000
2,7.50000,7.50000,15.00000,1.00000
3,6.22222,6.88889,11.33333,0.66667
4,5.12500,6.62500,11.00000,1.50000
5,4.56000,6.36000,9.40000,1.80000
6,4.05556,6.05556,8.33333,2.00000
7,3.63265,5.77551,7.57143,2.14286
8,3.53125,5.53125,7.50000,2.00000
9,2.93827,5.38272,7.33333,2.44444
10,2.50000,5.30000,7.20000,2.80000
11,2.16529,5.25620,7.18182,3.09091
12,2.22222,5.27778,7.50000,3.33333
13,2.08284,5.30178,7.38462,3.53846
14,1.81122,5.31122,7.07143,3.50000
15,1.89778,5.29778,6.80000,3.40000
16,2.06641,5.25391,6.37500,3.18750
17,2.18339,5.18339,6.29412,3.00000
18,2.01543,5.12654,6.33333,3.11111
19,1.62604,5.09972,6.52632,3.47368
20,1.75250,5.10250,6.70000,3.35000
21,1.89342,5.08390,6.42857,3.19048
22,1.83058,5.05785,6.31818,3.22727
23,1.77127,5.03214,6.21739,3.26087
24,1.79861,5.00694,6.12500,3.20833
25,1.89280,4.97280,5.92000,3.08000
26,1.89497,4.93343,5.76923,3.03846
27,1.89163,4.89163,5.62963,3.00000
28,1.88393,4.84821,5.50000,2.96429
29,1.87277,4.80380,5.44828,2.93103
30,1.73222,4.76556,5.53333,3.03333
31,1.51405,4.73985,5.64516,3.22581
32,1.31934,4.72559,5.75000,3.40625
33,1.14509,4.72084,5.84848,3.57576
34,1.21713,4.72405,5.94118,3.70588
35,1.18449,4.72980,5.91429,3.74286
36,1.18056,4.73611,5.91667,3.80556
37,1.17531,4.74361,5.91892,3.81081
38,1.09349,4.74861,5.84211,3.78947
39,1.06969,4.75082,5.82051,3.76923
40,1.04688,4.75312,5.80000,3.80000
41,1.02499,4.75550,5.78049,3.82927
42,1.02778,4.75794,5.78571,3.83333
43,0.98432,4.75987,5.74419,3.83721
44,0.94370,4.76085,5.70455,3.84091
45,0.91654,4.76099,5.66667,3.84444
46,0.91257,4.76040,5.63043,3.84783
47,0.90810,4.75917,5.59574,3.85106
