iteration,epsilon,payoff,attacker_best_response,defender_best_response
145,2.54586,4.80343,5.19697,2.25758
146,2.51931,4.79856,5.20403,2.27925
147,2.49305,4.79380,5.21106,2.30075
148,2.46707,4.78916,5.21805,2.32210
149,2.44136,4.78465,5.22500,2.34328
150,2.41593,4.78024,5.23192,2.36431
151,2.39077,4.77595,5.23881,2.38519
152,2.36587,4.77178,5.24566,2.40590
153,2.34124,4.76771,5.25248,2.42647
154,2.31686,4.76375,5.25926,2.44689
155,2.29274,4.75990,5.26601,2.46715
156,2.26888,4.75615,5.27273,2.48727
157,2.24526,4.75250,5.27941,2.50725
158,2.22188,4.74896,5.28606,2.52708
159,2.19875,4.74552,5.29268,2.54676
160,2.17945,4.74217,5.29927,2.56272
161,2.17102,4.73888,5.30340,2.56786
162,2.15203,4.73566,5.30751,2.58363
163,2.13324,4.73253,5.31159,2.59929
164,2.11462,4.72946,5.31566,2.61484
165,2.09620,4.72648,5.31971,2.63028
166,2.07795,4.72356,5.32374,2.64561
167,2.05988,4.72072,5.32775,2.66084
168,2.04199,4.71795,5.33174,2.67596
169,2.02428,4.71525,5.33571,2.69097
170,2.00674,4.71262,5.33967,2.70588
171,1.98937,4.71006,5.34360,2.72069
172,1.97217,4.70756,5.34752,2.73540
173,1.95513,4.70513,5.35142,2.75000
174,1.93826,4.70277,5.35529,2.76451
175,1.92155,4.70046,5.35915,2.77891
176,1.90501,4.69823,5.36300,2.79322
177,1.88862,4.69605,5.36682,2.80743
178,1.87238,4.69393,5.37063,2.82155
179,1.85631,4.69188,5.37442,2.83557
180,1.84038,4.68988,5.37819,2.84950
181,1.82461,4.68794,5.38194,2.86333
182,1.80898,4.68606,5.38568,2.87708
183,1.79350,4.68423,5.38940,2.89073
184,1.77817,4.68246,5.39310,2.90429
185,1.77285,4.68075,5.39679,2.90789
186,1.76757,4.67904,5.39359,2.91148
187,1.76231,4.67734,5.39041,2.91503
188,1.75709,4.67565,5.38724,2.91857
189,1.75190,4.67397,5.38409,2.92208
190,1.74674,4.67230,5.38095,2.92557
191,1.74161,4.67064,5.37783,2.92903
192,1.73651,4.66898,5.37472,2.93248
193,1.73465,4.66734,5.37162,2.93269
194,1.73278,4.66569,5.36629,2.93291
195,1.73091,4.66403,5.36099,2.93312
196,1.72903,4.66236,5.35570,2.93333
197,1.72715,4.66069,5.35045,2.93354
198,1.72526,4.65902,5.34521,2.93375
199,1.72338,4.65734,5.34000,2.93396
200,1.72148,4.65565,5.33481,2.93417
201,1.71959,4.65396,5.32965,2.93438
202,1.71769,4.65227,5.32450,2.93458
203,1.71578,4.65057,5.31938,2.93478
204,1.71388,4.64886,5.31429,2.93498
205,1.71197,4.64715,5.30921,2.93519
206,1.71006,4.64544,5.30416,2.93538
207,1.70814,4.64372,5.29913,2.93558
208,1.70622,4.64200,5.29412,2.93578
209,1.70430,4.64028,5.28913,2.93598
210,1.70238,4.63855,5.28416,2.93617
211,1.70045,4.63682,5.27922,2.93636
212,1.69852,4.63508,5.27430,2.93656
213,1.69659,4.63334,5.26940,2.93675
214,1.69466,4.63160,5.26452,2.93694
215,1.69273,4.62985,5.25966,2.93713
216,1.68186,4.62812,5.26124,2.94627
217,1.67107,4.62643,5.26282,2.95536
218,1.66038,4.62477,5.26439,2.96439
219,1.64977,4.62315,5.26596,2.97337
220,1.63925,4.62155,5.26752,2.98230
221,1.62882,4.62000,5.26907,2.99118
222,1.61847,4.61847,5.27061,3.00000
223,1.60821,4.61698,5.27215,3.00877
224,1.59802,4.61552,5.27368,3.01749
225,1.58792,4.61409,5.27521,3.02616
226,1.57791,4.61269,5.27673,3.03478
227,1.56797,4.61132,5.27824,3.04335
228,1.55811,4.60998,5.27975,3.05187
229,1.54833,4.60867,5.28125,3.06034
230,1.53863,4.60740,5.28274,3.06877
231,1.52900,4.60615,5.28423,3.07714
232,1.51946,4.60493,5.28571,3.08547
233,1.50998,4.60373,5.28719,3.09375
234,1.50059,4.60257,5.28866,3.10198
235,1.49409,4.60143,5.29012,3.10734
236,1.49326,4.60030,5.28542,3.10704
237,1.49242,4.59916,5.28074,3.10674
238,1.49157,4.59801,5.27607,3.10644
239,1.49071,4.59686,5.27143,3.10615
240,1.48985,4.59570,5.26680,3.10585
241,1.48897,4.59453,5.26220,3.10556
242,1.48809,4.59335,5.25761,3.10526
243,1.48720,4.59217,5.25304,3.10497
244,1.48630,4.59098,5.24848,3.10468
245,1.48539,4.58979,5.24395,3.10440
246,1.48448,4.58859,5.23944,3.10411
247,1.48356,4.58738,5.23494,3.10383
248,1.48263,4.58617,5.23046,3.10354
249,1.48169,4.58495,5.22600,3.10326
250,1.48075,4.58373,5.22156,3.10298
251,1.47979,4.58250,5.21713,3.10270
252,1.47884,4.58126,5.21272,3.10243
253,1.47787,4.58002,5.20833,3.10215
254,1.47690,4.57878,5.20396,3.10188
255,1.47592,4.57752,5.19960,3.10160
256,1.47493,4.57627,5.19527,3.10133
257,1.47394,4.57501,5.19094,3.10106
258,1.47295,4.57374,5.18664,3.10080
259,1.47194,4.57247,5.18235,3.10053
260,1.47093,4.57120,5.17808,3.10026
261,1.46992,4.56992,5.17383,3.10000
262,1.46890,4.56863,5.16959,3.09974
263,1.46787,4.56734,5.16732,3.09948
264,1.45642,4.56608,5.17087,3.10966
265,1.44506,4.56485,5.17442,3.11979
266,1.43378,4.56365,5.17795,3.12987
267,1.42259,4.56249,5.18147,3.13990
268,1.41149,4.56137,5.18497,3.14987
